Title,Rating,Review,Release Year,Review Date,Id,imdbID
Lion,9.0,"Incredible acting by Saroo actors, good acting by cast, Incredible Story, Incredible Screenplay, Incredible Score, Incredible Cinematography, Problem with spacing of time, love scenes and some scenes by white actors were hard to watch. Connected on a deeper personal level to the movie. Based on a true story.",2016,02/25/2017,11,tt3741834
Moonlight,4.5,"Some acting was good some acting was OK (The best actor in the movie is only in it for like 10 mins and Harris does an decent job), Good Writing, good Artistic Vision, Great Score. No plot whatsoever. No clear character development which was the point of the movie",2016,02/25/2017,12,tt4975722
The Pact,1.6,"One of the worst horror movies I've seen, Terrible screenplay, Terrible story, Terrible acting, not even that scary, more funny than scary, couple parts are creepy.",2012,02/26/2017,13,tt2040560
Django Unchained ,9.5,"Incredible acting by main cast, though some was not better than others, Incredible Screenplay, Incredible Story, Great violence, great music, some music didn't really fit the mood",2012,03/26/2017,14,tt1853728
Get Out,8.8,"Movie comes around full circle, the shift in the middle explains for the uncomfortable and bad acting in the beginning of the movie, good acting, great story, natural but awkward screenplay, more of a thriller than horror movie, great last 3rd, Movie makes you feel very uncomfortable but the movie makes clear why it does this.",2017,03/26/2017,15,tt5052448
LOL,1.2,"Possibly one of the worst movies I've ever seen. Terrible Screenplay, Terrible Acting, Terrible Story, Terrible Everything. Nothing is going for this movie. ",2012,03/26/2017,16,tt1592873
Anchorman: The Legend of Ron Burgundy,7.8,"Iconic, very funny, kinda bad writing at times, Great Story.",2004,04/02/2017,17,tt0357413
Easy A,6.0,"Very average movie, entertaining, some of the dialogue is very pointless, little bit funny at times, the narrative driven style is very clique (but is addressed in the movie)",2010,04/02/2017,18,tt1282140
The Dark Knight,9.9,Everything about this is brilliant,2008,04/09/2017,19,tt0468569
Logan,8.8,"Very Good Acting, Great Action, some parts were unnecessary, great how everyone dies, Decent Score, great story.",2017,04/17/2017,20,tt3315342
Baahubali 2: The Conclusion,6.2,"Unnecessary CGI moments, good story, Decent acting, not as good as the first, good action",2017,05/21/2017,21,tt4849438
Spider-Man,8.6,"Iconic, great story, Decent acting, plot holes in how he became a good fighter, a childhood movie favorite, good screenplay, plays emotions pretty well, good action",2002,05/21/2017,22,tt0145487
Inglourious Basterds,9.3,"Incredible acting by Laurent and Waltz, Decent acting by rest of the cast, Incredible Screenplay, Incredible Story, Great violence, great Soundtrack, hard to keep track some of the storylines that all happened at once.",2009,05/21/2017,23,tt0361748
Stand and Deliver,7.5,"Great Acting by lead, great story, pretty bad acting by the rest of the class, Decent screenplay, unnecessary dramatic acting at some points, very Asian Score",1988,05/21/2017,24,tt0094027
Guardians of the Galaxy Vol. 2,8.7,"Extremely funny, great Acting by the cast, great story, great screenplay, great action, great visual effects, some formulaic cliche moments in the movie.",2017,05/21/2017,25,tt3896198
The Blair Witch Project,2.0,"Not scary at all, Terrible Acting, Story was not even scary, Everyone is whining, Good job for them to have such a shitty movie make enough publicity to make the amount of money they made.",1999,06/02/2017,26,tt0185937
Back to the Future,9.6,"Great Acting, Brilliant Story, Great Screenplay, Great Score, Extremely Iconic, Marty's girlfriend cannot act",1985,06/13/2017,27,tt0088763
Moneyball,9.4,"Great Acting, Great Story, Great Screenplay but some lines are questionable, Great Score, Very Relatable Movie, Great Job exploring the demons of every character and how almost everyone has something to prove, Ending was kinda out of place.",2011,06/13/2017,28,tt1210166
Good Will Hunting,9.6,"Great Acting by top 2 1/2, Brilliant Screenplay, Great Story, Score complements the emotions of the scenes, Great Character development.",1997,06/13/2017,29,tt0119217
The Wolf of Wall Street,9.2,"Brilliant Acting, Incredible Screenplay, Great Story, Good Soundtrack, Extremely Funny, Terrible Editing, Way too long in that 30 mins to an hour could have been cut.",2013,06/18/2017,30,tt0993846
Deadpool,9.1,"Extremely Funny, Incredible Satire, Good Story, Great Screenplay, Good Acting, Good Soundtrack, Some jokes were meh.",2016,06/18/2017,31,tt1431045
The Room,9.9,Absolutely nothing wrong with this movie.,2003,06/27/2017,32,tt0368226
Don't Breathe,7.7,"Decent acting, probably the movie with the most twists I have ever seen, story was good, not that scary but more of a thriller, had you rooting for the characters.",2016,06/27/2017,33,tt4160708
Dallas Buyers Club ,8.5,"Pretty good acting (but Leo deserved the Oscar more), good story, good screenplay, Too short and ending felt very jammed together.",2013,06/27/2017,34,tt0790636
Raging Bull,5.2,"Good acting, Bad story, So many plot holes, Decent Score/Soundtrack, not relatable at all, Extremely slow, disgusting at time to watch, Screenplay was OK, why does everyone like this movie ",1980,06/30/2017,35,tt0081398
21 Jump Street,9.3,"Extremely Funny, Incredible Satire, Great Story, Great Spinoff, Some Points were Meh but overall very good.",2012,07/06/2017,36,tt1232829
Popstar: Never Stop Never Stopping ,5.9,"Entertaining movie but not that funny, Andy Samberg is really annoying, liked the documentary format and some points were funny with what they did with it, good story, would not re-watch.",2016,07/22/2017,37,tt3960412
War Dogs,7.3,"Like a shittier yet still entertaining Wolf of Wall Street, Miles Teller in very Miles Teller in fashion, Jonah Hill steals the show like always and is very good, great story, good screenplay, ending just falls apart as it's forced and is dragged out.",2016,07/22/2017,38,tt2005151
War for the Planet of the Apes ,9.0,"Very good acting (especially from Andy Serkis), very few wasted minutes of the movie, the girl really is useless in the movie, Great action, Incredible Visual Effects and Motion Capture, Great Screenplay, Very Emotional movie, Need to watch first two for story to make sense.",2017,07/22/2017,39,tt3450958
Mean Girls ,7.5,"Very entertaining, good acting, very funny at movements but no stupid jokes, a lot of wasted parts in the movie, Good Story, Great Screenplay, Ending makes absolutely 0 sense.",2004,07/22/2017,40,tt0377092
Baby Driver ,6.8,"Very Unique movie, good story, good acting, ending falls apart.",2017,08/05/2017,41,tt3890160
Dunkirk,9.3,"The movie is one of the most accurate depictions of war. Nolan brilliantly depicts the emotions of war with brilliant direction meshed with incredible cinematography, and a score that blends with the scenes. None of the bullshit with the writing or acting as it is stripped down to what it should be.",2017,08/05/2017,42,tt5013056
The Big Sick,7.8,"The beginning is pretty boring, The movie really hits its stride when The parents come in, Has some very funny jokes but some very stupid ones too, Great story, Good screenplay, Very personal even though its from a Pakistani perspective, Acting was good by lead ok by lead girl but great by parents.",2017,08/15/2017,43,tt5462602
Inception ,9.7,"This movie is perfect except for the fast pacing in the beginning, the idea of limbo and security, and what equates to a Kick.",2010,08/15/2017,44,tt1375666
The Big Short,8.1,"Very good acting from core members, very good story, good screenplay, very entertaining, Tries to be very educational but falls at times it needs to be, only after a while do u understand what's going on.",2015,09/18/2017,45,tt1596363
Logan Lucky ,7.3,"Entertaining, ok acting, good story but cliche, ok screenplay, sorta funny, some points were me.",2017,09/18/2017,46,tt5439796
Abre Los Ojos,9.0,"Extremely good movie, Very conceptual and very good because of it, Very good acting though at times can be overacting, great score, Incredible movie.",1997,09/18/2017,47,tt0125659
It,6.4,"Entertaining movie, jokes were funny at times, acting was Decent, Cinematography was good, not really scary, marketing made it more a horror than comedy which is not cool, score was there, story was good, Screenplay was Decent.",2017,10/20/2017,48,tt1396484
The Help,6.6,"Good movie, acting was good (Spencer and Davis were very good), Screenplay was Pretty Good, story was good.",2011,10/20/2017,49,tt1454029
Requiem for a Dream,9.3,"REDUX 01/11/2022: Great to Incredible Direction (Aronofsky is able to get memorable performances out of his actors as they are elevated through is script, use of symbolism, and unique editing and cinematography), Great Acting (Brilliant from Ellen Burstyn (Delivers a career rebirth through this performance as she is able to completely transform herself into a fractured mother still looking to keep hold of her family that is fading away from her), Very Good from Jared Leto (Shows promise throughout the movie as he was able to handle the emotional moments very well (though does falter at times for a bit of a newer actor)), Very Good to Great from Jennifer Connelly (A performance that really helped shift her career in a different direction as she embodies an individual who is slowly becoming numb as she succumbs to her addictions), Good to Very Good from Marlon Waynes (A surprisingly good performance from the known comedic actor as he steps out of his comfort zone to play his character very well), Pretty Bad to Decent from the rest of the cast), Incredible Story (Very well structured as we get to see how the characters slowly decline and succumb to their addictions), Great to Incredible Screenplay (Filled with great symbolism and imagery as well as great dialogue for the most part, there are some very questionable moments however), Incredible to Brilliant Score (really helped set the tone of the movie and is very iconic in its own-right), Incredible Cinematography (For the most part, as we get to see the camera help give perspective to the characters, though it can be very nauseating at times), Very Good Sound (Helped show the routine the characters went through as using the drugs just became a habit for them, though some of the sound choices were a bit cartoony and out of place), Incredible Editing (For the most part, the jump cuts and the scenes where the characters are getting high are very well conducted and helped create an artsy genre for the public to see, though some of the editing choices were questionable), Plot Structure was great as the movie is just a constant build to the climax with no resolution (something that was an intended message for the characters), Pacing was extremely fast (and while this was an intention, it still kinda made it a bit hard to follow), Build to the climax was incredible as the whole movie just builds to it; the climax itself is one of the most memorable parts of the movie as it shows how far all the characters went with their addictions and how there was no turning back anymore (something that was helped strengthened through there being no resolution), The movie is filled was incredible moments and does an incredible job with the low budget it is given but it is still filled with many flaws that showed why a movie like this was very unsuccessful went it came out (that and how grotesque it was). Overall, a must watch as Aronofsky puts himself on the mainstream map by crafting an incredible insight into the descent people go to fill the void of happiness they have as we get to see 4 characters spiral out of control through their addictions, though it is not a perfect movie as it is filled with many flaws (and but not it being it is nauseating and grotesque). ORIGINAL (8.3, 10/20/2017): Very good but so fucked up. Acting was great, Screenplay was excellent, Story was excellent, Incredible Score, way to grotesque, jump cuts created a genre.",2000,01/11/2022,50,tt0180093
Innocent Voices,6.4,,2004,01/21/2018,51,tt0387914
Bridesmaids,7.0,,2011,01/21/2018,52,tt1478338
The Disaster Artist,8.9,,2017,01/21/2018,53,tt3521126
Star Wars: The Last Jedi,4.0,,2017,01/21/2018,54,tt2527336
The Post,8.0,,2017,01/21/2018,55,tt6294822
Walkout,7.6,,2006,02/18/2018,56,tt0452703
Prisoners,9.5,"REDUX 02/18/2018: Incredible to Great Direction, Great to Incredible Acting (Incredible from Hugh Jackman, Incredible from Jake Gyllenhaal, Great from the rest of the cast (Despite some hiccups of overacting at some points)), Incredible Story, Great to Incredible Screenplay (Filled with symbolism throughout), Incredible Cinematography, Pacing was good overall but was slower at sometimes and seemed pretty rushed towards the end; the runtime of the movie was a little too long as 15-20 minutes of the movie that could definitely been cut to show off the same product, Build to the climax was very well executed. Overall, one of the best movies about serial crime that looks into the trauma and effects searching for lost love ones can have on a father, family, and detective searching. ORIGINAL (9.2, 02/18/2018): ",2013,02/18/2018,57,tt1392214
Black Panther,7.2,"This is literal just a typical comic book/Marvel Movie, Nothing more, nothing less.",2018,02/24/2019,58,tt1825683
"Three Billboards outside Ebbing, Missouri ",8.1,"Great Screenplay, Incredible Acting, Great Score, Great Story, A two half film: First half is very good and the second half falls off a lot, ending was very anti-climatic.",2017,03/04/2018,59,tt5027774
The Shape of Water,7.7,"Good Story, Incredible Production Design, Mediocre Acting, Decent Screenplay, Good Score, Very slow at times, A lot of missed oppurtunities ",2017,03/04/2018,60,tt5580390
Lady Bird,5.0,"Very boring movie, not good acting except for the mother, not good screenplay, Decent story, Very pretentious and annoying, the final 20 mins of the movie is enjoyable though",2017,03/04/2018,61,tt4925292
Darkest Hour,8.5,"Very Safe Oscar Movie. Incredible Acting, Good Story, Good Screenplay, No missed opportunities, Incredible Makeup, Pacing is very nice, Direction is good, Cinematography is good, Good compliment to Dunkirk",2017,03/04/2018,62,tt4555426
Call Me by Your Name,6.4,"Very Conflicting Movie. For the first 1.5 Hours: Extremely Boring, Alright Screenplay, OK Story, Acting very boring except for Armie, Good song selection. For Last 30 Min: Incredible Acting, Incredible Screenplay, Incredible Story, Incredible Song Selection. This movie is one that is very touching and very good at the end but is murdered due to the fact that the beginning 3/4 of the movie is so bad.",2017,03/04/2018,63,tt5726616
Creed,9.5,"The Acting was Incredible (Especially Sly), The Direction was Incredible, The Score was Incredible, The Screenplay was good.",2015,07/09/2018,64,tt3076658
Best F(r)iends: Volume 1,9.0,It was everything and nothing I expected,2017,07/09/2018,65,tt6155194
Taxi Driver,7.6,"Good Acting, Good Screenplay, Good Score, Very Slow at Times, Good Ending Sequence, The buildup to the end however is pretty anticlimactic, Good depiction of PTSD.",1976,07/09/2018,66,tt0075314
Carrie,7.6,"Great Acting from leads, Decent Screenplay, Unnecessary Nudity, Not That Scary, Ending Sequence is very good.",1976,07/09/2018,67,tt0074285
The Silence of the Lambs,8.5,"Incredible Acting, Great Story, Great Screenplay, Score clashed with the movie, Not that Scary.",1991,07/27/2018,68,tt0102926
Hereditary,8.6,"The Movie was just incredible, The Ending was horrible, The movie was only scary because the director had to explain why it was scary.",2018,07/27/2018,69,tt7784604
Incredibles 2,9.3,"Almost as good as the first, Incredible Screenplay, Great Animation, Great Story.",2018,07/27/2018,70,tt3606756
It Comes at Night,6.0,"Terrible Acting besides Joel, Great Cinematography, Not Scary at all, Disappointing, Score was good, Decent screenplay, Decent story, Very one dimensional, Liked the concept of the ending but was not shot and executed well.",2017,07/27/2018,71,tt4695012
The Hangover,9.0,"Extremely Funny, Great Comedic Acting, Incredible Story, Funny Screenplay.",2009,09/16/2018,72,tt1119646
Sorry to Bother You,8.6,"Very good concept, handles race issues better than Get Out but the twist is very weird. Good screenplay and good acting.",2018,10/28/2018,73,tt5688932
Hugo,8.0,Very dry movie but good thematic concepts and good cinematography. Very safe movie.,2011,10/28/2018,74,tt0970179
The Truman Show,9.5,"Excellent Movie. Incredible Screenplay, Incredible Acting, Decent Score, The best Cinematography out of any movie I have ever seen. Incredible Story and Ending.",1998,10/28/2018,75,tt0120382
Shutter Island,7.2,"Good Concept, Very Bland Acting, decent screenplay, Great Twist, Not good Score, Good Thriller.",2010,10/28/2018,76,tt1130884
Won't You Be My Neighbor?,9.6,"Best Documentary I have every seen, Incredible in almost every way, Very Emotional and powerful.",2018,10/31/2018,77,tt7681902
A Star Is Born,9.4,"Incredible Acting, Incredible Story, Incredible Screenplay, Great Music, Incredible Cinematography, Movie dragged at times.",2018,12/17/2018,78,tt1517451
Vice,7.7,"Incredible Acting, Terrible Pacing, Very Sloppy structure, had an incorrect fact but for the most part was pretty spot on, good score, very funny, most disappointing movie of the year because of the potential it had.",2018,12/31/2018,79,tt6266538
Black Mirror: Bandersnatch,9.0,"Incredible Idea, Incredible Story, good acting, future of movie telling.",2018,01/12/2018,80,tt9495224
Bohemian Rhapsody,7.2,"Incredible from Rami Malek, Band Scenes were really good but rest of the movie was kinda iffy, Incredible Music, Very Disjointed and could tell that that directors change midway through the production, Screenplay was very good at times and very shitty at times, not all the performances were great, Live Aid was incredible, editing was Terrible, for a movie that preaches identity it does not have any, the biggest what if movie of the year.",2018,01/12/2018,81,tt1727824
The Favourite,7.8,"Both one of the best movies of the year and one of the worst movies of the year. Incredible Acting, Funny wit and humor, story has like no continuity, at times very dry, Great pacing up until the end.",2018,02/23/2019,82,tt5083738
Blackkklansman,8.0,"Great Acting, great story, good screenplay, funny at times, Love interest side story was not good, Preachy but its a Spike Lee movie so like that's not that surprising, The ending is extremely anticlimactic and just very bad, The end just became a PSA against Trump for like absolutely no reason, like it was not needed at all.",2018,02/23/2019,83,tt7349662
Green Book,8.3,"The definition of a movie that almost checks every box but does not go above and beyond in any way. Great acting, Great story, decent screenplay, good music, great mix of humor and drama. The movie has great concepts but the screenplay could be retweeked a little bit to make it better.",2018,02/23/2019,84,tt6966692
Roma,7.3,"Note: Not fair for me to judge do to the fact it is a foreign film of a different taste. The story was decent, the acting was decent, the direction was very good, the cinematography was incredible, the movie dragged and was boring for the first 2/3 of the movie, The ending was good.",2018,02/24/2019,85,tt6155172
Legally Blonde,5.5,"A watchable movie, The pacing was incredibly off, Huge skips in time that do not fit the structure, Kinda funny, decent concept, Ending was alright, not good screenplay or direction, Decent acting.",2001,03/16/2019,86,tt0250494
Little Miss Sunshine,8.7,"Incredible Acting by the entire cast, Great screenplay, Great story, good score, great pacing, good direction, besides acting the movie does not go above and beyond in anyway and would be a great family movie if it was not rated R",2006,03/16/2019,87,tt0449059
Drive,8.7,"Great Story, Great screenplay, great cinometography, great concept, ok acting by ryan gosling, him and carey mulligan have like 0 chemistry, very graphic (not a bad thing), There is no pacing to this movie and the final 30 minutes are really rushed. I would have liked to see at least 20-30 more minutes to this movie. ",2011,03/16/2019,88,tt0780504
Trainspotting,8.8,"This movie is basically Scottish Requiem for a dream or if catcher and the rye was told by a heroin addict. Incredible Acting, Great screenplay, Great Story, Pacing was great but would've like to have seen more time added for the falling action of the movie",1996,03/19/2019,89,tt0117951
Office Space,8.8,"Incredibly funny and relatable, Great Story, For how short the movie is it really uses its time well, Would have liked to have seen more of the relationship and more of the movie as a whole though.",1999,03/19/2019,90,tt0151804
Gully Boy,8.6,"Movie really picks its place and hits its stride after the second half, The acting is very good and the chemistry between the leads is definitely noticeable, The music is like not my type of rap but I mean I can't be mad, Has inspirations from 8 mile but is unique in its own right.",2019,04/18/2019,91,tt2395469
Shatranj Ke Khilari,7.8,"Take this review with a grain of salt cause I had to watch this movie at 3x the speed. The visuals and music were very good, Great symbolism, Very comedic and funny at times, Kinda was pointless at times and very stupid at times as well, The story took elements from the written text yet made its own interpretation very clear.",1977,04/18/2019,92,tt0076696
Avengers: Endgame,8.7,"Great Acting, Good Story, Very Nostalgic to the past movies, Great Action Scenes, Good Tie up for the MCU and ending for some of the characters, Too many plot holes.",2019,05/22/2019,93,tt4154796
Indiana Jones and the Raiders of the Lost Ark,9.6,"Great Acting, Brilliant Story, Great Screenplay, Great Score, Extremely Iconic, Indy's girl did not act that well.",1981,05/22/2019,94,tt0082971
Schindler's List,9.6,"Incredible Story, Great Screenplay, Very emotional, Incredible Score, Great Acting, Very true and eyeopening, IMO there was a little too much emphasis on parts that did not need to emphasized in the Schindler Storyline, Not traditional for a purpose: A movie that is not a movie but a message.",1993,05/22/2019,95,tt0108052
Free Solo,8.8,"Great Documentation of Alex's journey to climb El Cap, Some parts were like the generic Documentary parts that have nothing to do with the event itself, extremely suspenseful (especially the final 30 minutes), Great Music, Overall very enjoyable to watch.",2018,06/06/2019,96,tt7775622
We Are Columbine,9.0,"Very Poorly made documentary, Literally is just about like 5 people and where they were during the events, barely actually goes into the details of the events or the killer, does a bad job about talking about the aftermath, Very cringy lines and fake edgy from the interviewee and were just boring. Overall, this was a very boring documentary and the whole thing could be condensed down to 10 minutes and it would still be bad.",2018,06/24/2019,97,tt6521610
The Devil Wears Prada,7.7,"Great Acting (Especially Meryl Streep and Emily Blunt), Pacing was alright but not great, very enjoyable storyline, decent screenplay, Funny at times, Did not like the ending.",2006,06/24/2019,98,tt0458352
Toy Story 4,9.3,"An Unnecessary movie given Toy Story 3 but I am very happy they made this movie, Incredible Story, Incredible Screenplay, Typical Great Voice acting (Its Toy story after all), focuses too much on Woody and kinda relegates the importance of Buzz in his life as well as completely forgets Andy's old Toys and Jesse, Great Score, Beautiful animations and it can easily be seen the improvement in Pixar's animation skills, Great ending to the Woody Arc of Toy story.",2019,07/08/2019,99,tt1979376
Midsommar,8.4,"A great follow up to Hereditary for Ari Aster, Great Acting, Great Story, Great Screenplay, While it is not as layered nor does it have the depth of Hereditary it still does have a fair amount of layers and depth, Incredible Cinematography and visuals, Good pacing and the ending actually makes sense and is good (Unlike Hereditary), More grotesque than scary and there are scenes that are meant to be scary but are just funny instead, Good score, The perfect foil for Hereditary.",2019,07/08/2019,100,tt8772262
Once Upon a Time in Hollywood,8.7,"The Acting was Incredible by the Main Cast, The Production Direction was Incredible, The Cinematography was Incredible, The Direction was good, Very funny, Way too long of a movie, The movie does not have a plot, Its a wandering movie exploring the end of the Hollywood Golden Age, The ending was extremely confusing but makes sense the more you think about it.",2019,07/31/2019,101,tt7131622
Murder Mystery,5.6,"A watchable movie, at best, Adam Sandler is you know.....Adam Sandler. Its a coherent story, I laughed, a couple of times.",2019,07/31/2019,102,tt1618434
Gran Torino,8.7,"Incredible Acting by Clint Eastwood, Everyone else's acting however was some of the worst acting I have ever seen, Very funny how overtly racist it is (but is important in helping build up the conflict), Great Story, Decent screenplay, Good overall direction.",2008,09/20/2019,103,tt1205489
