imdbID,Title,Year,Rating,WatchedDate,Tags,Review
tt0145487,Spider-Man,2002,4.0,2017-05-21,Very Good,"Rating: 8.6
Iconic, great story, Decent acting, plot holes in how he became a good fighter, a childhood movie favorite, good screenplay, plays emotions pretty well, good action."
tt0361748,Inglourious Basterds,2009,4.5,2017-05-21,Great,"Rating: 9.3
Incredible acting by Laurent and Waltz, Decent acting by rest of the cast, Incredible Screenplay, Incredible Story, Great violence, great Soundtrack, hard to keep track some of the storylines that all happened at once."
tt0094027,Stand and Deliver,1988,3.5,2017-05-21,Pretty Good,"Rating: 7.5
Great Acting by lead, great story, pretty bad acting by the rest of the class, Decent screenplay, unnecessary dramatic acting at some points, very Asian Score."
tt3896198,Guardians of the Galaxy Vol. 2,2017,4.0,2017-05-21,Very Good,"Rating: 8.7
Extremely funny, great Acting by the cast, great story, great screenplay, great action, great visual effects, some formulaic cliche moments in the movie."
tt0185937,The Blair Witch Project,1999,0.5,2017-06-02,Terrible,"Rating: 2.0
Not scary at all, Terrible Acting, Story was not even scary, Everyone is whining, Good job for them to have such a shitty movie make enough publicity to make the amount of money they made."
tt0088763,Back to the Future,1985,5.0,2017-06-13,Incredible,"Rating: 9.6
Great Acting, Brilliant Story, Great Screenplay, Great Score, Extremely Iconic, Marty's girlfriend cannot act"
tt1210166,Moneyball,2011,4.5,2017-06-13,Great,"Rating: 9.4
Great Acting, Great Story, Great Screenplay but some lines are questionable, Great Score, Very Relatable Movie, Great Job exploring the demons of every character and how almost everyone has something to prove, Ending was kinda out of place."
tt0119217,Good Will Hunting,1997,5.0,2017-06-13,Incredible,"Rating: 9.6
Great Acting by top 2 1/2, Brilliant Screenplay, Great Story, Score complements the emotions of the scenes, Great Character development."
tt0993846,The Wolf of Wall Street,2013,4.5,2017-06-18,Great,"Rating: 9.2
Brilliant Acting, Incredible Screenplay, Great Story, Good Soundtrack, Extremely Funny, Terrible Editing, Way too long in that 30 mins to an hour could have been cut."
tt1431045,Deadpool,2016,4.5,2017-06-18,Great,"Rating: 9.1
Extremely Funny, Incredible Satire, Good Story, Great Screenplay, Good Acting, Good Soundtrack, Some jokes were meh."
tt0368226,The Room,2003,5.0,2017-06-27,Brilliant,"Rating: 9.9
Absolutely nothing wrong with this movie."
tt4160708,Don't Breathe,2016,3.5,2017-06-27,Pretty Good,"Rating: 7.7
Decent acting, probably the movie with the most twists I have ever seen, story was good, not that scary but more of a thriller, had you rooting for the characters."
tt0790636,Dallas Buyers Club ,2013,4.0,2017-06-27,Very Good,"Rating: 8.5
Pretty good acting (but Leo deserved the Oscar more), good story, good screenplay, Too short and ending felt very jammed together."
tt0081398,Raging Bull,1980,2.0,2017-06-30,Bad,"Rating: 5.2
Good acting, Bad story, So many plot holes, Decent Score/Soundtrack, not relatable at all, Extremely slow, disgusting at time to watch, Screenplay was OK, why does everyone like this movie."
tt1232829,21 Jump Street,2012,4.5,2017-07-06,Great,"Rating: 9.3
Extremely Funny, Incredible Satire, Great Story, Great Spinoff, Some Points were Meh but overall very good."
tt3960412,Popstar: Never Stop Never Stopping ,2016,2.0,2017-07-22,Bad,"Rating: 5.9
Entertaining movie but not that funny, Andy Samberg is really annoying, liked the documentary format and some points were funny with what they did with it, good story, would not re-watch."
tt2005151,War Dogs,2016,3.0,2017-07-22,Decent,"Rating: 7.3
Like a shittier yet still entertaining Wolf of Wall Street, Miles Teller in very Miles Teller in fashion, Jonah Hill steals the show like always and is very good, great story, good screenplay, ending just falls apart as it's forced and is dragged out."
tt3450958,War for the Planet of the Apes ,2017,4.5,2017-07-22,Great,"Rating: 9.0
Very good acting (especially from Andy Serkis), very few wasted minutes of the movie, the girl really is useless in the movie, Great action, Incredible Visual Effects and Motion Capture, Great Screenplay, Very Emotional movie, Need to watch first two for story to make sense."
tt0377092,Mean Girls ,2004,3.5,2017-07-22,Pretty Good,"Rating: 7.5
Very entertaining, good acting, very funny at movements but no stupid jokes, a lot of wasted parts in the movie, Good Story, Great Screenplay, Ending makes absolutely 0 sense."
tt3890160,Baby Driver ,2017,2.5,2017-08-05,Pretty Bad,"Rating: 6.8
Very Unique movie, good story, good acting, ending falls apart."
tt5013056,Dunkirk,2017,4.5,2017-08-05,Great,"Rating: 9.3
The movie is one of the most accurate depictions of war. Nolan brilliantly depicts the emotions of war with brilliant direction meshed with incredible cinematography, and a score that blends with the scenes. None of the bullshit with the writing or acting as it is stripped down to what it should be."
tt5462602,The Big Sick,2017,3.5,2017-08-15,Pretty Good,"Rating: 7.8
The beginning is pretty boring, The movie really hits its stride when The parents come in, Has some very funny jokes but some very stupid ones too, Great story, Good screenplay, Very personal even though its from a Pakistani perspective, Acting was good by lead ok by lead girl but great by parents."
tt1375666,Inception ,2010,5.0,2017-08-15,Brilliant,"Rating: 9.7
This movie is perfect except for the fast pacing in the beginning, the idea of limbo and security, and what equates to a Kick."
tt1596363,The Big Short,2015,4.0,2017-09-18,Good,"Rating: 8.1
Very good acting from core members, very good story, good screenplay, very entertaining, Tries to be very educational but falls at times it needs to be, only after a while do u understand what's going on."
tt5439796,Logan Lucky ,2017,3.0,2017-09-18,Decent,"Rating: 7.3
Entertaining, ok acting, good story but cliche, ok screenplay, sorta funny, some points were me."
tt0125659,Abre Los Ojos,1997,4.5,2017-09-18,Great,"Rating: 9.0
Extremely good movie, Very conceptual and very good because of it, Very good acting though at times can be overacting, great score, Incredible movie."
tt1396484,It,2017,2.5,2017-10-20,Pretty Bad,"Rating: 6.4
Entertaining movie, jokes were funny at times, acting was Decent, Cinematography was good, not really scary, marketing made it more a horror than comedy which is not cool, score was there, story was good, Screenplay was Decent."
tt1454029,The Help,2011,2.5,2017-10-20,Pretty Bad,"Rating: 6.6
Good movie, acting was good (Spencer and Davis were very good), Screenplay was Pretty Good, story was good."
tt0180093,Requiem for a Dream,2000,4.5,2022-01-11,Great,"REDUX (01/11/2022)
Rating: 9.3
Overall, a must watch as Aronofsky puts himself on the mainstream map by crafting an incredible insight into the descent people go to fill the void of happiness they have as we get to see 4 characters spiral out of control through their addictions, though it is not a perfect movie as it is filled with many flaws (and but not it being it is nauseating and grotesque).

ORIGINAL (10/20/2017)
Rating: 8.3
Very good but so fucked up. Acting was great, Screenplay was excellent, Story was excellent, Incredible Score, way to grotesque, jump cuts created a genre."
tt0387914,Innocent Voices,2004,2.5,2018-01-21,Pretty Bad,"Rating: 6.4
"
tt1478338,Bridesmaids,2011,3.0,2018-01-21,Decent,"Rating: 7.0
"
tt3521126,The Disaster Artist,2017,4.0,2018-01-21,Very Good,"Rating: 8.9
"
tt2527336,Star Wars: The Last Jedi,2017,1.5,2018-01-21,Bad,"Rating: 4.0
"
tt6294822,The Post,2017,4.0,2018-01-21,Good,"Rating: 8.0
"
tt0452703,Walkout,2006,3.5,2018-02-18,Pretty Good,"Rating: 7.6
"
tt1392214,Prisoners,2013,5.0,2018-02-18,Incredible,"REDUX (02/18/2018)
Rating: 9.5
Overall, one of the best movies about serial crime that looks into the trauma and effects searching for lost love ones can have on a father, family, and detective searching.

ORIGINAL (02/18/2018)
Rating: 9.2
"
tt1825683,Black Panther,2018,3.0,2019-02-24,Decent,"Rating: 7.2
This is literal just a typical comic book/Marvel Movie, Nothing more, nothing less."
tt5027774,"Three Billboards outside Ebbing, Missouri ",2017,4.0,2018-03-04,Good,"Rating: 8.1
Great Screenplay, Incredible Acting, Great Score, Great Story, A two half film: First half is very good and the second half falls off a lot, ending was very anti-climatic."
tt5580390,The Shape of Water,2017,3.5,2018-03-04,Pretty Good,"Rating: 7.7
Good Story, Incredible Production Design, Mediocre Acting, Decent Screenplay, Good Score, Very slow at times, A lot of missed opportunities."
tt4925292,Lady Bird,2017,2.0,2018-03-04,Bad,"Rating: 5.0
Very boring movie, not good acting except for the mother, not good screenplay, Decent story, Very pretentious and annoying, the final 20 mins of the movie is enjoyable though."
tt4555426,Darkest Hour,2017,4.0,2018-03-04,Very Good,"Rating: 8.5
Very Safe Oscar Movie. Incredible Acting, Good Story, Good Screenplay, No missed opportunities, Incredible Makeup, Pacing is very nice, Direction is good, Cinematography is good, Good compliment to Dunkirk."
tt5726616,Call Me by Your Name,2017,2.5,2018-03-04,Pretty Bad,"Rating: 6.4
Very Conflicting Movie. For the first 1.5 Hours: Extremely Boring, Alright Screenplay, OK Story, Acting very boring except for Armie, Good song selection. For Last 30 Min: Incredible Acting, Incredible Screenplay, Incredible Story, Incredible Song Selection. This movie is one that is very touching and very good at the end but is murdered due to the fact that the beginning 3/4 of the movie is so bad."
tt3076658,Creed,2015,5.0,2018-07-09,Incredible,"Rating: 9.5
The Acting was Incredible (Especially Sly), The Direction was Incredible, The Score was Incredible, The Screenplay was good."
tt6155194,Best F(r)iends: Volume 1,2017,4.5,2018-07-09,Great,"Rating: 9.0
It was everything and nothing I expected."
tt0075314,Taxi Driver,1976,3.5,2018-07-09,Pretty Good,"Rating: 7.6
Good Acting, Good Screenplay, Good Score, Very Slow at Times, Good Ending Sequence, The buildup to the end however is pretty anticlimactic, Good depiction of PTSD."
tt0074285,Carrie,1976,3.5,2018-07-09,Pretty Good,"Rating: 7.6
Great Acting from leads, Decent Screenplay, Unnecessary Nudity, Not That Scary, Ending Sequence is very good."
tt0102926,The Silence of the Lambs,1991,4.0,2018-07-27,Very Good,"Rating: 8.5
Incredible Acting, Great Story, Great Screenplay, Score clashed with the movie, Not that Scary."
tt7784604,Hereditary,2018,4.0,2018-07-27,Very Good,"Rating: 8.6
The Movie was just incredible, The Ending was horrible, The movie was only scary because the director had to explain why it was scary."
tt3606756,Incredibles 2,2018,4.5,2018-07-27,Great,"Rating: 9.3
Almost as good as the first, Incredible Screenplay, Great Animation, Great Story."
tt4695012,It Comes at Night,2017,2.5,2018-07-27,Pretty Bad,"Rating: 6.0
Terrible Acting besides Joel, Great Cinematography, Not Scary at all, Disappointing, Score was good, Decent screenplay, Decent story, Very one dimensional, Liked the concept of the ending but was not shot and executed well."
tt1119646,The Hangover,2009,4.5,2018-9-16,Great,"Rating: 9.0
Extremely Funny, Great Comedic Acting, Incredible Story, Funny Screenplay."
tt5688932,Sorry to Bother You,2018,4.0,2018-10-28,Very Good,"Rating: 8.6
Very good concept, handles race issues better than Get Out but the twist is very weird, Good screenplay and good acting."
tt0970179,Hugo,2011,4.0,2018-10-28,Good,"Rating: 8.0
Very dry movie but good thematic concepts and good cinematography. Very safe movie."
tt0120382,The Truman Show,1998,5.0,2018-10-28,Incredible,"Rating: 9.5
Excellent Movie. Incredible Screenplay, Incredible Acting, Decent Score, The best Cinematography out of any movie I have ever seen. Incredible Story and Ending."
tt1130884,Shutter Island,2010,3.0,2018-10-28,Decent,"Rating: 7.2
Good Concept, Very Bland Acting, decent screenplay, Great Twist, Not good Score, Good Thriller."
tt7681902,Won't You Be My Neighbor?,2018,5.0,2018-10-31,Incredible,"Rating: 9.6
Best Documentary I have every seen, Incredible in almost every way, Very Emotional and powerful."
tt1517451,A Star Is Born,2018,4.5,2018-12-17,Great,"Rating: 9.4
Incredible Acting, Incredible Story, Incredible Screenplay, Great Music, Incredible Cinematography, Movie dragged at times."
tt6266538,Vice,2018,3.5,2018-12-31,Pretty Good,"Rating: 7.7
Incredible Acting, Terrible Pacing, Very Sloppy structure, had an incorrect fact but for the most part was pretty spot on, good score, very funny, most disappointing movie of the year because of the potential it had."
tt9495224,Black Mirror: Bandersnatch,2018,4.5,2018-1-12,Great,"Rating: 9.0
Incredible Idea, Incredible Story, good acting, future of movie telling."
tt1727824,Bohemian Rhapsody,2018,3.0,2018-1-12,Decent,"Rating: 7.2
Incredible from Rami Malek, Band Scenes were really good but rest of the movie was kinda iffy, Incredible Music, Very Disjointed and could tell that that directors change midway through the production, Screenplay was very good at times and very shitty at times, not all the performances were great, Live Aid was incredible, editing was Terrible, for a movie that preaches identity it does not have any, the biggest what if movie of the year."
tt5083738,The Favourite,2018,3.5,2019-02-23,Pretty Good,"Rating: 7.8
Both one of the best movies of the year and one of the worst movies of the year. Incredible Acting, Funny wit and humor, story has like no continuity, at times very dry, Great pacing up until the end."
tt7349662,Blackkklansman,2018,4.0,2019-02-23,Good,"Rating: 8.0
Great Acting, great story, good screenplay, funny at times, Love interest side story was not good, Preachy but its a Spike Lee movie so like that's not that surprising, The ending is extremely anticlimactic and just very bad, The end just became a PSA against Trump for like absolutely no reason, like it was not needed at all."
tt6966692,Green Book,2018,4.0,2019-02-23,Good,"Rating: 8.3
The definition of a movie that almost checks every box but does not go above and beyond in any way. Great acting, Great story, decent screenplay, good music, great mix of humor and drama. The movie has great concepts but the screenplay could be retweeked a little bit to make it better."
tt6155172,Roma,2018,3.0,2019-02-24,Decent,"Rating: 7.3
Note: Not fair for me to judge do to the fact it is a foreign film of a different taste. The story was decent, the acting was decent, the direction was very good, the cinematography was incredible, the movie dragged and was boring for the first 2/3 of the movie, The ending was good."
tt0250494,Legally Blonde,2001,2.0,2019-03-16,Bad,"Rating: 5.5
A watchable movie, The pacing was incredibly off, Huge skips in time that do not fit the structure, Kinda funny, decent concept, Ending was alright, not good screenplay or direction, Decent acting."
tt0449059,Little Miss Sunshine,2006,4.0,2019-03-16,Very Good,"Rating: 8.7
Incredible Acting by the entire cast, Great screenplay, Great story, good score, great pacing, good direction, besides acting the movie does not go above and beyond in anyway and would be a great family movie if it was not rated R."
tt0780504,Drive,2011,4.0,2019-03-16,Very Good,"Rating: 8.7
Great Story, Great screenplay, great cinematography, great concept, ok acting by ryan gosling, him and carey mulligan have like 0 chemistry, very graphic (not a bad thing), There is no pacing to this movie and the final 30 minutes are really rushed. I would have liked to see at least 20-30 more minutes to this movie. "
tt0117951,Trainspotting,1996,4.0,2019-03-19,Very Good,"Rating: 8.8
This movie is basically Scottish Requiem for a dream or if catcher and the rye was told by a heroin addict. Incredible Acting, Great screenplay, Great Story, Pacing was great but would've like to have seen more time added for the falling action of the movie."
tt0151804,Office Space,1999,4.0,2019-03-19,Very Good,"Rating: 8.8
Incredibly funny and relatable, Great Story, For how short the movie is it really uses its time well, Would have liked to have seen more of the relationship and more of the movie as a whole though."
tt2395469,Gully Boy,2019,4.0,2019-04-18,Very Good,"Rating: 8.6
Movie really picks its place and hits its stride after the second half, The acting is very good and the chemistry between the leads is definitely noticeable, The music is like not my type of rap but I mean I can't be mad, Has inspirations from 8 mile but is unique in its own right."
tt0076696,Shatranj Ke Khilari,1977,3.5,2019-04-18,Pretty Good,"Rating: 7.8
Take this review with a grain of salt cause I had to watch this movie at 3x the speed. The visuals and music were very good, Great symbolism, Very comedic and funny at times, Kinda was pointless at times and very stupid at times as well, The story took elements from the written text yet made its own interpretation very clear."
tt4154796,Avengers: Endgame,2019,4.0,2019-05-22,Very Good,"Rating: 8.7
Great Acting, Good Story, Very Nostalgic to the past movies, Great Action Scenes, Good Tie up for the MCU and ending for some of the characters, Too many plot holes."
tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,5.0,2019-05-22,Incredible,"Rating: 9.6
Great Acting, Brilliant Story, Great Screenplay, Great Score, Extremely Iconic, Indy's girl did not act that well."
tt0108052,Schindler's List,1993,5.0,2019-05-22,Incredible,"Rating: 9.6
Incredible Story, Great Screenplay, Very emotional, Incredible Score, Great Acting, Very true and eyeopening, IMO there was a little too much emphasis on parts that did not need to emphasized in the Schindler Storyline, Not traditional for a purpose: A movie that is not a movie but a message."
tt7775622,Free Solo,2018,4.0,2019-06-06,Very Good,"Rating: 8.8
Great Documentation of Alex's journey to climb El Cap, Some parts were like the generic Documentary parts that have nothing to do with the event itself, extremely suspenseful (especially the final 30 minutes), Great Music, Overall very enjoyable to watch."
tt6521610,We Are Columbine,2018,1.5,2019-06-24,Bad,"Rating: 4.8
Very Poorly made documentary, Literally is just about like 5 people and where they were during the events, barely actually goes into the details of the events or the killer, does a bad job about talking about the aftermath, Very cringy lines and fake edgy from the interviewee and were just boring. Overall, this was a very boring documentary and the whole thing could be condensed down to 10 minutes and it would still be bad."
tt0458352,The Devil Wears Prada,2006,3.5,2019-06-24,Pretty Good,"Rating: 7.7
Great Acting (Especially Meryl Streep and Emily Blunt), Pacing was alright but not great, very enjoyable storyline, decent screenplay, Funny at times, Did not like the ending."
tt1979376,Toy Story 4,2019,4.5,2019-07-08,Great,"Rating: 9.3
An Unnecessary movie given Toy Story 3 but I am very happy they made this movie, Incredible Story, Incredible Screenplay, Typical Great Voice acting (Its Toy story after all), focuses too much on Woody and kinda relegates the importance of Buzz in his life as well as completely forgets Andy's old Toys and Jesse, Great Score, Beautiful animations and it can easily be seen the improvement in Pixar's animation skills, Great ending to the Woody Arc of Toy story."
tt8772262,Midsommar,2019,4.0,2019-07-08,Good,"Rating: 8.4
A great follow up to Hereditary for Ari Aster, Great Acting, Great Story, Great Screenplay, While it is not as layered nor does it have the depth of Hereditary it still does have a fair amount of layers and depth, Incredible Cinematography and visuals, Good pacing and the ending actually makes sense and is good (Unlike Hereditary), More grotesque than scary and there are scenes that are meant to be scary but are just funny instead, Good score, The perfect foil for Hereditary."
tt7131622,Once Upon a Time in Hollywood,2019,4.0,2019-07-31,Very Good,"Rating: 8.7
The Acting was Incredible by the Main Cast, The Production Direction was Incredible, The Cinematography was Incredible, The Direction was good, Very funny, Way too long of a movie, The movie does not have a plot, Its a wandering movie exploring the end of the Hollywood Golden Age, The ending was extremely confusing but makes sense the more you think about it."
tt1618434,Murder Mystery,2019,2.0,2019-07-31,Bad,"Rating: 5.6
A watchable movie, at best, Adam Sandler is you know.....Adam Sandler. Its a coherent story, I laughed, a couple of times."
tt1205489,Gran Torino,2008,4.0,2019-09-20,Very Good,"Rating: 8.7
Incredible Acting by Clint Eastwood, Everyone else's acting however was some of the worst acting I have ever seen, Very funny how overtly racist it is (but is important in helping build up the conflict), Great Story, Decent screenplay, Good overall direction."
tt6057032,Gook,2017,4.0,2019-09-20,Good,"Rating: 8.4
Great Story, Good Screenplay (Sometimes not that good though), Good Acting, Good Direction, was in black in white (stylistic choice so cannot hate)."
tt0280477,Better Luck Tomorrow,2002,3.5,2019-10-27,Pretty Good,"Rating: 7.9
Very Early 2000s and late 90s vibe, Decent acting, good story, very teenage, decent screenplay, the ending like collapses."
tt7286456,Joker,2019,5.0,2019-10-27,Incredible,"Rating: 9.6
Brilliant Acting, Brilliant Score (Especially how it works with the story and scenes), Incredible Story, Incredible twists, Good direction and Art Design, Great Screenplay, Some scenes were not shot very well and can be seen that they are just Arthur's imagination."
tt0463985,The Fast and the Furious: Tokyo Drift ,2006,1.5,2019-11-21,Bad,"Rating: 4.7
Decent Story, Terrible Acting except for Sung Kang, Terrible Screenplay, action scenes were ok, the Only incredible thing about this movie was the song Toyko Drift."
tt0072271,The Texas Chain Saw Massacre,1974,2.0,2019-11-21,Bad,"Rating: 5.0
Extremely Boring, Acting very bad, Story not that good, Not scary at all, Very predictable scares, No coherent plot, Very short, The only good scene of the movie was the very last scene (and this is more iconic than great)."
tt0366551,Harold & Kumar Go to White Castle,2004,4.0,2019-11-21,Good,"Rating: 8.3
Great Story, pretty funny, Great acting from big three characters, good message on Asian representation, Plot flows nicely and is pacing."
tt1711425,21 & Over,2013,1.0,2019-12-18,Very Bad,"Rating: 3.3
Justin Chon was Decent as an actor but Miles Teller's character was very dumb, The overall Movie is just very dumb and not funny at all (Did not laugh once), Nothing good about this movie at all, Plot was very stupid and the concept is very dumb."
tt0120915,Star Wars: Episode I – The Phantom Menace,1999,2.5,2019-12-18,Pretty Bad,"Rating: 6.9
Acting by the veteran actors was good (Liam Neeson, Ewan McGregor especially, Samuel L Jackson, and Yoda), the acting by those who are not experienced were either pretty bad or very bad, Direction was horrible, Story was great, Screenplay was terrible, Visuals were really good, Score was incredible, Production Design was great, Film aged better than most would have thought, Pacing was really off in the first half."
tt0121765,Star Wars: Episode II – Attack of the Clones,2002,3.0,2019-12-28,Decent,"Rating: 7.0
Started off very poor in the first 1/2 and picked up in the second half, Ewan McGregor is still incredible, acting by Hayden and Natalie is Bad, acting by veteran actors is fine, screenplay is still bad, story is great, visuals are incredible, score is incredible, Most unimportant movie of the prequels."
tt2935510,Ad Astra,2019,2.0,2019-12-22,Bad,"Rating: 5.2
Visuals, Sound mixing and editing were very good, Plot was very boring, with direction and acting very poor and boring as well, Score was nonexistent and not used when it was needed, Screenplay was very bland."
tt5503686,Hustlers,2019,4.0,2019-12-22,Good,"Rating: 8.0
Acting by Jennifer Lopez and Constance Wu was very good, Story was good but ending was kinda meh and very rushed, pacing was not very consistent, Very enjoyable and entertaining movie."
tt1542344,127 Hours,2010,4.0,2019-12-22,Very Good,"Rating: 8.5
Great Performance by James Franco, Score was great, Direction was great, Story was very good, Very short movie which is a shame because it throws the pacing off for the movie, wanted to see more of the movie but was constrained by the time."
tt2066051,Rocketman,2019,4.0,2019-12-22,Very Good,"Rating: 8.6
Incredible Performance by Taren Egerton, Music was very well performed by the cast, Story was very good, Acting was good by the rest of the cast, Great celebration of Elton John's career and work, very funny when it needs to be and very serious when it needs to be, Time and continuity was not very good from the movie because there was not signs of when each event occurred or what year everything took place in, great costume design."
tt1655420,My Week with Marilyn,2011,3.5,2019-12-22,Pretty Good,"Rating: 7.8
Great Acting performances by Michelle Williams and Kenneth Branagh, Good story, good screenplay, very safe movie in terms of no risks taken, very enjoyable movie overall."
tt2527338,Star Wars: The Rise of Skywalker,2019,2.0,2019-12-22,Bad,"Rating: 5.4
The entire movie is just JJ Abrams trying to correct the mistakes made by Rian Johnson, The first 2/3 of the movie as really bad and very cringe-worthy, the performances were very bland by all of the sequel trilogy characters, the screenplay was extremely repetitive and very boring, the story was just dumb and there are so many loose ends that will never be tied up, John Williams score so you know what it is, bad direction, Great Production Design, the pacing is fine because there is just zero expedition to tell anything that has happened before. The final third of the movie was pretty good, Very cringy movie overall."
tt7653254,Marriage Story,2019,4.5,2019-12-24,Great,"Rating: 9.1
Incredible Acting by Driver and Johannson, Great Acting by supporting cast, Great Screenplay, Great Story, Good score, Good Pacing and plot, Good Cinematography, Well Made Movie overall, Extremely Over-the-top and noticeable it is Oscar Bait."
tt6857112,Us,2019,4.0,2019-12-28,Good,"Rating: 8.0
Good acting by Lupita Nyong'o, decent acting by rest of the cast, good screenplay but meh at times, good story, conflict was pretty dumb and very poorly explained, twist at the end was good, score was good, cinematography was good."
tt6751668,Parasite,2019,5.0,2020-01-02,Incredible,"Rating: 9.5
Great Acting, Incredible Direction, Incredible Story, Incredible Screenplay (Both how Comedic it is and how trilling and powerful it is) even though it is in Korean and I was reading subtitles, Score was great in how it complements the movie, Incredible Symbolism in the commentary on Class Conflict, The Movie is broken into two separate parts (A comedic half and a thriller half), The pacing of the movie is very off because it spends too much time on the comedic side when a little bit more should be placed on the second half due to the commentary it is trying to convey, The issue with the pacing leads to the ending/epilogue to be very rushed, Overall Incredible Movie."
